movie;type;word;minutes_in;%
Reservoir Dogs;word;fuck;84.4;0.852525253
Reservoir Dogs;word;bitch;84.5;0.853535354
Reservoir Dogs;word;fuck;85.08;0.859393939
Reservoir Dogs;word;fuck;85.28;0.861414141
Reservoir Dogs;word;fucking;85.45;0.863131313
Reservoir Dogs;death;;85.58;0.864444444
Reservoir Dogs;death;;85.58;0.864444444
Reservoir Dogs;death;;85.81;0.866767677
Reservoir Dogs;word;fucking;86.48;0.873535354
Reservoir Dogs;death;;86.55;0.874242424
Reservoir Dogs;word;fucking;86.86;0.877373737
Reservoir Dogs;word;shit;86.91;0.877878788
Reservoir Dogs;word;fucking;86.96;0.878383838
Reservoir Dogs;word;shit;87.06;0.879393939
Reservoir Dogs;word;fuck;87.73;0.886161616
Reservoir Dogs;death;;88.06;0.889494949
Reservoir Dogs;word;hell;88.38;0.892727273
Reservoir Dogs;word;shit;88.45;0.893434343
Reservoir Dogs;word;fucking;88.76;0.896565657
Reservoir Dogs;word;fucking;89.38;0.902828283
Reservoir Dogs;word;fucking;89.45;0.903535354
Reservoir Dogs;word;fucking;89.48;0.903838384
Reservoir Dogs;word;fucking;89.95;0.908585859
Reservoir Dogs;word;hell;90.1;0.91010101
Reservoir Dogs;word;bullshit;90.15;0.910606061
Reservoir Dogs;word;hell;90.3;0.912121212
Reservoir Dogs;word;fuck;90.36;0.912727273
Reservoir Dogs;word;shit;90.4;0.913131313
Reservoir Dogs;word;fucking;90.5;0.914141414
Reservoir Dogs;word;fucking;90.75;0.916666667
Reservoir Dogs;word;shit;90.88;0.917979798
Reservoir Dogs;word;cocksucker;90.91;0.918282828
Reservoir Dogs;word;fucking;91.15;0.920707071
Reservoir Dogs;word;fucking;91.35;0.922727273
Reservoir Dogs;word;fucking;91.48;0.924040404
Reservoir Dogs;word;fucking;91.75;0.926767677
Reservoir Dogs;word;fucking;91.96;0.928888889
Reservoir Dogs;word;fucking;92.01;0.929393939
Reservoir Dogs;word;goddamn;92.05;0.92979798
Reservoir Dogs;word;fucking;92.13;0.930606061
Reservoir Dogs;death;;92.15;0.930808081
Reservoir Dogs;death;;92.15;0.930808081
Reservoir Dogs;word;fucking;94.73;0.956868687
Reservoir Dogs;word;fucking;94.75;0.957070707
Reservoir Dogs;word;fucking;94.83;0.957878788
Reservoir Dogs;word;fucking;94.9;0.958585859
Reservoir Dogs;word;fucking;95.21;0.961717172
Reservoir Dogs;word;fucking;95.33;0.962929293
Reservoir Dogs;word;fucking;95.33;0.962929293
Reservoir Dogs;death;;95.4;0.963636364
Reservoir Dogs;death;;95.4;0.963636364
Pulp Fiction;word;shit;0.52;0.003376623
Pulp Fiction;word;fucking;0.82;0.005324675
Pulp Fiction;word;fuck;1.37;0.008896104
Pulp Fiction;word;fucking;1.62;0.010519481
Pulp Fiction;word;fucking;1.73;0.011233766
Pulp Fiction;word;fucking;1.77;0.011493506
Pulp Fiction;word;fucking;2.18;0.014155844
Pulp Fiction;word;fuck;2.22;0.014415584
Pulp Fiction;word;gook;2.28;0.014805195
Pulp Fiction;word;fuckers;2.28;0.014805195
Pulp Fiction;word;gooks;2.42;0.015714286
Pulp Fiction;word;fucking;2.45;0.015909091
Pulp Fiction;word;fucking;2.47;0.016038961
Pulp Fiction;word;fucking;2.53;0.016428571
Pulp Fiction;word;fuck;2.6;0.016883117
Pulp Fiction;word;fuck;3.52;0.022857143
Pulp Fiction;word;fucking;3.58;0.023246753
Pulp Fiction;word;wetback;3.67;0.023831169
Pulp Fiction;word;fuck;3.7;0.024025974
Pulp Fiction;word;fucking;4.68;0.03038961
Pulp Fiction;word;motherfucking;4.75;0.030844156
Pulp Fiction;word;fucking;7.7;0.05
Pulp Fiction;word;shit;7.87;0.051103896
Pulp Fiction;word;fuck;8.25;0.053571429
Pulp Fiction;word;goddamn;8.67;0.056298701
Pulp Fiction;word;fucking;8.72;0.056623377
Pulp Fiction;word;shit;8.72;0.056623377
Pulp Fiction;word;fucking;9.1;0.059090909
Pulp Fiction;word;n-word ;10.08;0.065454545
Pulp Fiction;word;fucked;10.17;0.066038961
Pulp Fiction;word;fuck;10.4;0.067532468
Pulp Fiction;word;ass;10.73;0.069675325
Pulp Fiction;word;n-word ;10.75;0.069805195
Pulp Fiction;word;n-word ;10.85;0.070454545
Pulp Fiction;word;damn;10.98;0.071298701
Pulp Fiction;word;pussy;11.52;0.074805195
Pulp Fiction;word;fucking;11.55;0.075
Pulp Fiction;word;bitch;11.6;0.075324675
Pulp Fiction;word;bitch;11.6;0.075324675
Pulp Fiction;word;fucking;11.63;0.075519481
Pulp Fiction;word;fucking;11.68;0.075844156
Pulp Fiction;word;fucking;11.83;0.076818182
Pulp Fiction;word;fucking;11.88;0.077142857
Pulp Fiction;word;shit;11.92;0.077402597
Pulp Fiction;word;fucking;12.03;0.078116883
Pulp Fiction;word;shit;12.07;0.078376623
Pulp Fiction;word;fuck;12.2;0.079220779
Pulp Fiction;word;fuck;12.27;0.079675325
Pulp Fiction;word;motherfucking;12.88;0.083636364
Pulp Fiction;word;fucking;12.9;0.083766234
Pulp Fiction;word;n-word ;12.92;0.083896104
Pulp Fiction;word;shit;12.93;0.083961039
Pulp Fiction;word;motherfucker;12.95;0.084090909
Pulp Fiction;word;shit;12.97;0.084220779
Pulp Fiction;word;ass;12.98;0.084285714
Pulp Fiction;word;motherfucker;13;0.084415584
